composer,piece,S->S,S->A,S->W,A->S,A->A,A->W,W->S,W->A,W->W
Beethoven,n16op135_02_reviewed,0.13815789473684212,0.17763157894736842,0.125,0.1513157894736842,0.09210526315789473,0.05263157894736842,0.16447368421052633,0.07236842105263158,0.02631578947368421
Beethoven,n16op135_03_reviewed,0.15730337078651685,0.06741573033707865,0.21348314606741572,0.02247191011235955,0.10112359550561797,0.0898876404494382,0.1797752808988764,0.11235955056179775,0.056179775280898875
Beethoven,n16op135_04_reviewed,0.11969111969111969,0.09652509652509653,0.1776061776061776,0.11583011583011583,0.16216216216216217,0.03861003861003861,0.13127413127413126,0.08494208494208494,0.07335907335907337
Chopin,BI105-2op30-2_reviewed,0.45098039215686275,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.11764705882352941,0.0
Chopin,BI105-3op30-3_reviewed,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.2,0.0,0.13333333333333333
Chopin,BI105-4op30-4_reviewed,0.08333333333333333,0.08333333333333333,0.32575757575757575,0.08333333333333333,0.022727272727272728,0.022727272727272728,0.3333333333333333,0.022727272727272728,0.022727272727272728
Chopin,BI115-1op33-1_reviewed,0.021739130434782608,0.17391304347826086,0.1956521739130435,0.2391304347826087,0.15217391304347827,0.021739130434782608,0.17391304347826086,0.021739130434782608,0.0
Chopin,BI115-2op33-2_reviewed,0.20967741935483872,0.20967741935483872,0.3870967741935484,0.04838709677419355,0.08064516129032258,0.0,0.03225806451612903,0.0,0.03225806451612903
Chopin,BI115-3op33-3_reviewed,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
Chopin,BI115-4op33-4_reviewed,0.18454935622317598,0.07296137339055794,0.3090128755364807,0.0944206008583691,0.017167381974248927,0.0,0.2703862660944206,0.008583690987124463,0.04291845493562232
Chopin,BI122op41-2_reviewed,0.09302325581395349,0.11627906976744186,0.3488372093023256,0.06976744186046512,0.0,0.023255813953488372,0.32558139534883723,0.0,0.023255813953488372
Chopin,BI126-1op41-4_reviewed,0.6290322580645161,0.06451612903225806,0.11290322580645161,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.08064516129032258,0.016129032258064516,0.0
Chopin,BI126-3op41-1_reviewed,0.10784313725490197,0.0196078431372549,0.23529411764705882,0.058823529411764705,0.2549019607843137,0.0392156862745098,0.20588235294117646,0.058823529411764705,0.0196078431372549
Chopin,BI126-4op41-3_reviewed,0.14,0.06,0.42,0.14,0.0,0.0,0.14,0.1,0.0
Chopin,BI134_reviewed,0.205607476635514,0.17757009345794392,0.2336448598130841,0.037383177570093455,0.12149532710280374,0.04672897196261682,0.11214953271028037,0.018691588785046728,0.04672897196261682
Chopin,BI140_reviewed,0.39705882352941174,0.10294117647058823,0.0661764705882353,0.13970588235294118,0.04411764705882353,0.07352941176470588,0.058823529411764705,0.0661764705882353,0.051470588235294115
Chopin,BI145-1op50-1_reviewed,0.37333333333333335,0.05333333333333334,0.2,0.08,0.13333333333333333,0.0,0.14666666666666667,0.013333333333333334,0.0
Chopin,BI145-2op50-2_reviewed,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.011363636363636364,0.03409090909090909,0.2159090909090909,0.0,0.011363636363636364
Chopin,BI145-3op50-3_reviewed,0.21052631578947367,0.05921052631578947,0.17763157894736842,0.08552631578947369,0.125,0.046052631578947366,0.19078947368421054,0.09868421052631579,0.006578947368421052
Chopin,BI153-1op56-1_reviewed,0.28761061946902655,0.061946902654867256,0.26991150442477874,0.022123893805309734,0.0752212389380531,0.030973451327433628,0.17699115044247787,0.022123893805309734,0.05309734513274336
Chopin,BI153-2op56-2_reviewed,0.33695652173913043,0.13043478260869565,0.15217391304347827,0.11956521739130435,0.043478260869565216,0.043478260869565216,0.03260869565217391,0.08695652173913043,0.05434782608695652
Chopin,BI153-3op56-3_reviewed,0.06285714285714286,0.1657142857142857,0.2857142857142857,0.10285714285714286,0.18857142857142858,0.022857142857142857,0.10857142857142857,0.04,0.022857142857142857
Chopin,BI157-1op59-1_reviewed,0.4339622641509434,0.1509433962264151,0.08490566037735849,0.09433962264150944,0.09433962264150944,0.018867924528301886,0.10377358490566038,0.009433962264150943,0.009433962264150943
