composer,piece,n,S,A,W
Bach,BWV1004_01_Allemande_reviewed,85,0.43529411764705883,0.47058823529411764,0.09411764705882353
Bach,BWV1004_02_Courante_reviewed,70,0.4857142857142857,0.32857142857142857,0.18571428571428572
Bach,BWV1005_02_Fuga_reviewed,584,0.488013698630137,0.386986301369863,0.125
Bach,BWV1006_04_Menuett_reviewed,98,0.5306122448979592,0.24489795918367346,0.22448979591836735
Bach,BWV1006_05_Bourée_reviewed,44,0.4772727272727273,0.29545454545454547,0.22727272727272727
Bach,BWV1006_06_Gigue_reviewed,42,0.6666666666666666,0.11904761904761904,0.21428571428571427
Bach,BWV1007_01_Prelude_reviewed,44,0.4772727272727273,0.2727272727272727,0.25
Bach,BWV1007_02_Allemande_reviewed,58,0.6724137931034483,0.22413793103448276,0.10344827586206896
Bach,BWV1007_03_Courante_reviewed,60,0.6333333333333333,0.13333333333333333,0.23333333333333334
Bach,BWV1007_04_Sarabande_reviewed,32,0.53125,0.28125,0.1875
Bach,BWV1007_05_MenuetI_reviewed,30,0.5,0.26666666666666666,0.23333333333333334
Bach,BWV1007_06_MenuetII_reviewed,28,0.5357142857142857,0.39285714285714285,0.07142857142857142
Bach,BWV1007_07_Gique_reviewed,49,0.42857142857142855,0.2653061224489796,0.30612244897959184
Bach,BWV1008_01_Prelude_reviewed,78,0.5512820512820513,0.3333333333333333,0.11538461538461539
Bach,BWV1008_02_Allemande_reviewed,62,0.532258064516129,0.3225806451612903,0.14516129032258066
Bach,BWV1008_03_Courante_reviewed,42,0.5476190476190477,0.2857142857142857,0.16666666666666666
Bach,BWV1008_04_Sarabande_reviewed,39,0.46153846153846156,0.358974358974359,0.1794871794871795
Bach,BWV1008_05_MenuetI_reviewed,35,0.5428571428571428,0.42857142857142855,0.02857142857142857
Bach,BWV1008_06_MenuetII_reviewed,23,0.4782608695652174,0.30434782608695654,0.21739130434782608
Bach,BWV1008_07_Gique_reviewed,83,0.42168674698795183,0.42168674698795183,0.1566265060240964
Bach,BWV1009_01_Prelude_reviewed,79,0.6708860759493671,0.20253164556962025,0.12658227848101267
Bach,BWV1009_02_Allemande_reviewed,96,0.4791666666666667,0.3645833333333333,0.15625
Bach,BWV1009_03_Courante_reviewed,68,0.4852941176470588,0.3382352941176471,0.17647058823529413
Bach,BWV1009_04_Sarabande_reviewed,37,0.4594594594594595,0.43243243243243246,0.10810810810810811
Bach,BWV1009_05_BourréeI_reviewed,44,0.45454545454545453,0.11363636363636363,0.4318181818181818
Bach,BWV1009_06_BourréeII_reviewed,30,0.4666666666666667,0.3,0.23333333333333334
Bach,BWV1009_07_Gique_reviewed,89,0.5168539325842697,0.33707865168539325,0.14606741573033707
Bach,BWV1010_01_Prelude_reviewed,56,0.5357142857142857,0.26785714285714285,0.19642857142857142
Bach,BWV1010_02_Allemande_reviewed,85,0.6,0.29411764705882354,0.10588235294117647
Bach,BWV1010_03_Courante_reviewed,88,0.6590909090909091,0.22727272727272727,0.11363636363636363
Bach,BWV1010_04_Sarabande_reviewed,43,0.6046511627906976,0.3488372093023256,0.046511627906976744
Bach,BWV1010_05_BourreeI_reviewed,68,0.4264705882352941,0.27941176470588236,0.29411764705882354
Bach,BWV1010_06_BourreeII_reviewed,23,0.6086956521739131,0.21739130434782608,0.17391304347826086
Bach,BWV1010_07_Gique_reviewed,70,0.6285714285714286,0.1,0.2714285714285714
Bach,BWV1011_01_Prelude_reviewed,279,0.4157706093189964,0.4551971326164875,0.12903225806451613
Bach,BWV1011_02_Allemande_reviewed,56,0.5892857142857143,0.26785714285714285,0.14285714285714285
Bach,BWV1011_03_Courante_reviewed,61,0.5245901639344263,0.3442622950819672,0.13114754098360656
Bach,BWV1011_04_Sarabande_reviewed,22,0.6818181818181818,0.13636363636363635,0.18181818181818182
Bach,BWV1011_05_GavotteI_reviewed,61,0.4918032786885246,0.36065573770491804,0.14754098360655737
Bach,BWV1011_06_GavotteII_reviewed,57,0.19298245614035087,0.42105263157894735,0.38596491228070173
Bach,BWV1011_07_Gique_reviewed,61,0.45901639344262296,0.4262295081967213,0.11475409836065574
Bach,BWV1012_01_Prelude_reviewed,140,0.5285714285714286,0.32142857142857145,0.15
Bach,BWV1012_02_Allemande_reviewed,65,0.676923076923077,0.2153846153846154,0.1076923076923077
Bach,BWV1012_03_Courante_reviewed,76,0.4605263157894737,0.35526315789473684,0.18421052631578946
Bach,BWV1012_04_Sarabande_reviewed,41,0.5121951219512195,0.3902439024390244,0.0975609756097561
Bach,BWV1012_05_GavotteI_reviewed,51,0.6862745098039216,0.21568627450980393,0.09803921568627451
Bach,BWV1012_06_GavotteII_reviewed,48,0.5416666666666666,0.16666666666666666,0.2916666666666667
Bach,BWV1012_07_Gique_reviewed,73,0.6712328767123288,0.0958904109589041,0.2328767123287671
Bach,BWV1013_01_Allemande_reviewed,138,0.38405797101449274,0.45652173913043476,0.15942028985507245
Bach,BWV1013_02_Corrente_reviewed,103,0.6893203883495146,0.20388349514563106,0.10679611650485436
Bach,BWV1013_03_Sarabande_reviewed,54,0.5,0.3333333333333333,0.16666666666666666
Bach,BWV1013_04_BourreeAnglaise_reviewed,75,0.5866666666666667,0.18666666666666668,0.22666666666666666
Mozart,K279-1_reviewed,196,0.6071428571428571,0.22448979591836735,0.1683673469387755
