composer,piece,S->S,S->A,S->W,A->S,A->A,A->W,W->S,W->A,W->W
Bach,BWV1007_05_MenuetI_reviewed,0.25925925925925924,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035
Bach,BWV1007_06_MenuetII_reviewed,0.2916666666666667,0.25,0.0,0.16666666666666666,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0
Bach,BWV1007_07_Gique_reviewed,0.17073170731707318,0.0,0.1951219512195122,0.07317073170731707,0.17073170731707318,0.024390243902439025,0.12195121951219512,0.0975609756097561,0.14634146341463414
Bach,BWV1008_01_Prelude_reviewed,0.3142857142857143,0.18571428571428572,0.07142857142857142,0.2,0.07142857142857142,0.04285714285714286,0.05714285714285714,0.05714285714285714,0.0
Bach,BWV1008_02_Allemande_reviewed,0.25925925925925924,0.16666666666666666,0.09259259259259259,0.12962962962962962,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.018518518518518517
Bach,BWV1008_03_Courante_reviewed,0.23529411764705882,0.20588235294117646,0.11764705882352941,0.17647058823529413,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.08823529411764706,0.0
Bach,BWV1008_04_Sarabande_reviewed,0.10714285714285714,0.25,0.10714285714285714,0.25,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.0
Bach,BWV1008_05_MenuetI_reviewed,0.3448275862068966,0.20689655172413793,0.034482758620689655,0.13793103448275862,0.2413793103448276,0.0,0.034482758620689655,0.0,0.0
Bach,BWV1008_06_MenuetII_reviewed,0.3157894736842105,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0
Bach,BWV1008_07_Gique_reviewed,0.2236842105263158,0.11842105263157894,0.09210526315789473,0.10526315789473684,0.2236842105263158,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.0
Bach,BWV1009_01_Prelude_reviewed,0.47368421052631576,0.15789473684210525,0.10526315789473684,0.12280701754385964,0.017543859649122806,0.017543859649122806,0.07017543859649122,0.03508771929824561,0.0
Bach,BWV1009_02_Allemande_reviewed,0.2,0.14444444444444443,0.1111111111111111,0.15555555555555556,0.17777777777777778,0.044444444444444446,0.13333333333333333,0.022222222222222223,0.011111111111111112
Bach,BWV1009_03_Courante_reviewed,0.2413793103448276,0.22413793103448276,0.05172413793103448,0.1206896551724138,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.05172413793103448,0.0
Bach,BWV1009_04_Sarabande_reviewed,0.21739130434782608,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0
Bach,BWV1009_05_BourréeI_reviewed,0.12121212121212122,0.06060606060606061,0.24242424242424243,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.2727272727272727,0.0,0.15151515151515152
Bach,BWV1009_06_BourréeII_reviewed,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.038461538461538464
Bach,BWV1009_07_Gique_reviewed,0.2631578947368421,0.17105263157894737,0.11842105263157894,0.14473684210526316,0.15789473684210525,0.02631578947368421,0.06578947368421052,0.05263157894736842,0.0
