mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
7,3/4,12/8,I,4.0,0.75,1.5,-1.0,S,0.9375,1.125,1.6875,"(-4, 0, -1)",1.6875
7,11/8,12/8,IV,3.0,1.375,1.5,-1.0,S,-0.5625,0.375,1.5,"(0, -1, -1)",1.5
8,0,12/8,I6,4.0,0.0,1.5,1.0,W,0.5625,0.0,0.375,"(-1, -1, 1)",0.375
8,3/8,12/8,ii65,6.0,0.375,1.5,2.0,A,0.5625,1.125,1.125,"(-1, 1, 2)",1.125
8,3/4,12/8,V,5.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(1, 2, -1)",2.25
8,9/8,12/8,V6,5.0,1.125,1.5,0.0,I,0.375,0.9375,2.0625,"(2, -1, 0)",2.0625
8,11/8,12/8,V7,5.0,1.375,1.5,0.0,I,-0.5625,-0.1875,0.75,"(-1, 0, 0)",0.75
9,0,12/8,I(9),4.0,0.0,1.5,-1.0,S,0.1875,-0.375,-0.5625,"(0, 0, -1)",-0.5625
9,1/8,12/8,I6,4.0,0.125,1.5,0.0,I,0.1875,0.375,0.0,"(0, -1, 0)",0.0
9,1/4,12/8,IVM7,3.0,0.25,1.5,-1.0,S,0.1875,0.375,0.75,"(-1, 0, -1)",0.75
9,3/8,12/8,V(4),5.0,0.375,1.5,2.0,A,0.375,0.5625,0.9375,"(0, -1, 2)",0.9375
9,5/8,12/8,V,5.0,0.625,1.5,0.0,I,0.1875,0.5625,1.125,"(-1, 2, 0)",1.125
9,3/4,12/8,I[I|PAC}{,4.0,0.75,1.5,-1.0,S,0.5625,0.75,1.3125,"(2, 0, -1)",1.3125
9,9/8,12/8,I6,4.0,1.125,1.5,0.0,I,0.375,0.9375,1.6875,"(0, -1, 0)",1.6875
9,11/8,12/8,IV,3.0,1.375,1.5,-1.0,S,-0.5625,-0.1875,0.75,"(-1, 0, -1)",0.75
10,0,12/8,I,4.0,0.0,1.5,1.0,W,0.375,-0.1875,-0.375,"(0, -1, 1)",-0.375
10,1/4,12/8,IV6,3.0,0.25,1.5,-1.0,S,0.1875,0.5625,0.375,"(-1, 1, -1)",0.375
10,3/8,12/8,I,4.0,0.375,1.5,1.0,W,0.375,0.5625,1.125,"(1, -1, 1)",1.125
10,5/8,12/8,ii6,6.0,0.625,1.5,2.0,A,0.1875,0.5625,1.125,"(-1, 1, 2)",1.125
10,3/4,12/8,I],4.0,0.75,1.5,-2.0,A,0.375,0.5625,1.125,"(1, 2, -2)",1.125
10,1,12/8,IV6,3.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.125,"(2, -2, -1)",1.125
10,9/8,12/8,V(64),5.0,1.125,1.5,2.0,A,0.375,0.5625,1.125,"(-2, -1, 2)",1.125
10,11/8,12/8,ii65,6.0,1.375,1.5,1.0,W,-0.5625,-0.1875,0.375,"(-1, 2, 1)",0.375
11,0,12/8,I6,4.0,0.0,1.5,-2.0,A,0.375,-0.1875,-0.375,"(2, 1, -2)",-0.375
11,1/4,12/8,IV,3.0,0.25,1.5,-1.0,S,0.1875,0.5625,0.375,"(1, -2, -1)",0.375
11,3/8,12/8,I6,4.0,0.375,1.5,1.0,W,0.1875,0.375,0.9375,"(-2, -1, 1)",0.9375
11,1/2,12/8,V7/IV,4.0,0.5,1.5,0.0,I,0.375,0.5625,0.9375,"(-1, 1, 0)",0.9375
11,3/4,12/8,IV6/IV,2.0,0.75,1.5,-2.0,A,0.5625,0.9375,1.5,"(1, 0, -2)",1.5
11,9/8,12/8,V65/IV,4.0,1.125,1.5,2.0,A,-0.1875,0.375,1.3125,"(0, -2, 2)",1.3125
12,0,12/8,I.I,3.0,0.0,1.5,-1.0,S,0.5625,0.375,0.75,"(-2, 2, -1)",0.75
12,3/8,12/8,V7/IV,3.0,0.375,1.5,0.0,I,0.5625,1.125,1.5,"(2, -1, 0)",1.5
12,3/4,12/8,IV6/IV,1.0,0.75,1.5,-2.0,A,0.5625,1.125,2.25,"(-1, 0, -2)",2.25
12,9/8,12/8,V65/IV,3.0,1.125,1.5,2.0,A,-0.1875,0.375,1.5,"(0, -2, 2)",1.5
13,0,12/8,IV(9),2.0,0.0,1.5,-1.0,S,0.5625,0.375,0.75,"(-2, 2, -1)",0.75
13,3/8,12/8,viio,8.0,0.375,1.5,6.0,S,0.5625,1.125,1.5,"(2, -1, 6)",1.5
13,3/4,12/8,vi.V65,7.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(-1, 6, -1)",2.25
13,9/8,12/8,i,6.0,1.125,1.5,-1.0,S,0.375,0.9375,2.0625,"(6, -1, -1)",2.0625
13,11/8,12/8,iio64,8.0,1.375,1.5,2.0,A,-0.5625,-0.1875,0.75,"(-1, -1, 2)",0.75
14,0,12/8,V7,7.0,0.0,1.5,-1.0,S,1.5,0.9375,0.75,"(-1, 2, -1)",0.75
15,0,12/8,VI,2.0,0.0,1.5,-5.0,A,0.5625,2.0625,3.0,"(2, -1, -5)",3.0
15,3/8,12/8,V65/VII,5.0,0.375,1.5,3.0,S,0.5625,1.125,3.1875,"(-1, -5, 3)",3.1875
15,3/4,12/8,VII,4.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(-5, 3, -1)",2.25
15,9/8,12/8,V65,7.0,1.125,1.5,3.0,S,-0.1875,0.375,1.5,"(3, -1, 3)",1.5
