mc,mc_onset,timesig,label,special,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
252,1/2,3/4,V7,,0.0,0.5,0.75,0.0,I,0.375,0.5625,1.6875,"(-1, 2, 0)",3.375
253,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.46875,0.84375,1.40625,"(2, 0, -1)",2.53125
253,5/8,3/4,viio6,,4.0,0.625,0.75,5.0,A,0.375,0.84375,1.6875,"(0, -1, 5)",2.25
254,1/8,3/4,viio,,4.0,0.125,0.75,0.0,I,0.1875,0.5625,1.40625,"(-1, 5, 0)",2.25
254,3/8,3/4,I,,-1.0,0.375,0.75,-5.0,A,0.1875,0.375,0.9375,"(5, 0, -5)",1.78125
254,5/8,3/4,IV,,-2.0,0.625,0.75,-1.0,S,0.375,0.5625,0.9375,"(0, -5, -1)",1.5
255,1/8,3/4,I6,,-1.0,0.125,0.75,1.0,W,0.375,0.75,1.3125,"(-5, -1, 1)",1.6875
255,5/8,3/4,viio6,,4.0,0.625,0.75,5.0,A,0.375,0.75,1.5,"(-1, 1, 5)",2.0625
256,1/8,3/4,viio,,4.0,0.125,0.75,0.0,I,1.40625,1.78125,2.53125,"(1, 5, 0)",3.28125
258,0,3/4,i,,-1.0,0.0,0.75,-5.0,A,0.75,2.15625,3.9375,"(5, 0, -5)",4.6875
259,0,3/4,VI,,2.0,0.0,0.75,3.0,S,0.75,1.5,3.65625,"(0, -5, 3)",5.4375
260,0,3/4,viio7/V,,5.0,0.0,0.75,3.0,S,0.375,1.125,2.625,"(-5, 3, 3)",4.78125
260,1/2,3/4,Ger6/vi,Ger,8.0,0.5,0.75,3.0,S,0.375,0.75,1.875,"(3, 3, 3)",3.375
261,0,3/4,V(64)/vi,,3.0,0.0,0.75,-5.0,A,0.1875,0.5625,1.3125,"(3, 3, -5)",2.4375
261,1/4,3/4,ii,,1.0,0.25,0.75,-2.0,A,0.1875,0.375,0.9375,"(3, -5, -2)",1.6875
261,1/2,3/4,V7,,0.0,0.5,0.75,-1.0,S,0.375,0.5625,0.9375,"(-5, -2, -1)",1.5
262,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.125,"(-2, -1, -1)",1.5
262,1/4,3/4,I[I6,,-1.0,0.25,0.75,0.0,I,1.3125,1.5,2.0625,"(-1, -1, 0)",2.625
264,0,3/4,V2,,0.0,0.0,0.75,1.0,W,1.5,2.8125,4.3125,"(-1, 0, 1)",4.875
266,0,3/4,I6,,-1.0,0.0,0.75,-1.0,S,0.75,2.25,5.0625,"(0, 1, -1)",6.5625
267,0,3/4,I64,,-1.0,0.0,0.75,0.0,I,0.75,1.5,3.75,"(1, -1, 0)",6.5625
268,0,3/4,V7,,0.0,0.0,0.75,1.0,W,1.5,2.25,3.75,"(-1, 0, 1)",6.0
270,0,3/4,I64,,-1.0,0.0,0.75,-1.0,S,0.1875,1.6875,3.9375,"(0, 1, -1)",5.4375
270,1/4,3/4,I64],,-1.0,0.25,0.75,0.0,I,0.5625,0.75,2.4375,"(1, -1, 0)",4.6875
271,0,3/4,I,,-1.0,0.0,0.75,0.0,I,3.0,3.5625,4.3125,"(-1, 0, 0)",6.0
275,0,3/4,IV,,-2.0,0.0,0.75,-1.0,S,0.75,3.75,7.3125,"(0, 0, -1)",8.0625
276,0,3/4,bVII,,-3.0,0.0,0.75,-1.0,S,1.5,2.25,6.0,"(0, -1, -1)",9.5625
278,0,3/4,V/ii,,2.0,0.0,0.75,5.0,A,0.75,2.25,4.5,"(-1, -1, 5)",8.25
279,0,3/4,ii,,1.0,0.0,0.75,-1.0,S,0.75,1.5,3.75,"(-1, 5, -1)",6.0
280,0,3/4,V,,0.0,0.0,0.75,-1.0,S,1.5,2.25,3.75,"(5, -1, -1)",6.0
282,0,3/4,V7/V,,1.0,0.0,0.75,1.0,W,0.1875,1.6875,3.9375,"(-1, -1, 1)",5.4375
282,1/4,3/4,iii,,3.0,0.25,0.75,2.0,A,0.1875,0.375,2.0625,"(-1, 1, 2)",4.3125
282,1/2,3/4,V6/V,,1.0,0.5,0.75,-2.0,A,0.375,0.5625,0.9375,"(1, 2, -2)",2.625
283,0,3/4,V,,0.0,0.0,0.75,-1.0,S,0.1875,0.5625,1.125,"(2, -2, -1)",1.5
283,1/4,3/4,IV6,,-2.0,0.25,0.75,-2.0,A,0.1875,0.375,0.9375,"(-2, -1, -2)",1.5
283,1/2,3/4,viio,,4.0,0.5,0.75,6.0,S,0.375,0.5625,0.9375,"(-1, -2, 6)",1.5
284,0,3/4,V43/V,,1.0,0.0,0.75,-3.0,W,0.375,0.75,1.3125,"(-2, 6, -3)",1.6875
284,1/2,3/4,V65/V,,1.0,0.5,0.75,0.0,I,0.75,1.125,1.875,"(6, -3, 0)",2.4375
