composer,piece,n,S,A,W,I
Bach,BWV1010_04_Sarabande_reviewed,63,26,15,2,20
Bach,BWV1010_05_BourreeI_reviewed,73,29,19,20,5
Bach,BWV1010_06_BourreeII_reviewed,26,14,5,4,3
Bach,BWV1010_07_Gique_reviewed,76,44,7,19,6
Bach,BWV1011_01_Prelude_reviewed,321,116,127,36,42
Bach,BWV1011_02_Allemande_reviewed,68,33,15,8,12
Bach,BWV1011_03_Courante_reviewed,66,32,21,8,5
Bach,BWV1011_04_Sarabande_reviewed,26,15,3,4,4
Bach,BWV1011_05_GavotteI_reviewed,76,30,22,9,15
Bach,BWV1011_06_GavotteII_reviewed,62,11,24,22,5
Bach,BWV1011_07_Gique_reviewed,70,28,26,7,9
Bach,BWV1012_01_Prelude_reviewed,186,74,45,21,46
Bach,BWV1012_02_Allemande_reviewed,77,44,14,7,12
Bach,BWV1012_03_Courante_reviewed,85,35,27,14,9
Bach,BWV1012_04_Sarabande_reviewed,57,21,16,4,16
Bach,BWV1012_05_GavotteI_reviewed,54,35,11,5,3
Bach,BWV1012_06_GavotteII_reviewed,57,26,8,14,9
Bach,BWV1012_07_Gique_reviewed,108,49,7,17,35
Bach,BWV1013_01_Allemande_reviewed,159,53,63,22,21
Bach,BWV1013_02_Corrente_reviewed,119,71,21,11,16
Bach,BWV1013_03_Sarabande_reviewed,55,27,18,9,1
Bach,BWV1013_04_BourreeAnglaise_reviewed,95,44,14,17,20
