mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
8	8	3/4	3/4	4/4	1	1	V	g	v		V	V							M	1	1	3, 7, 4		3	3	1	1	0.5	0.0625	0.1875	0.25
9	9	0	0	4/4	1	1	i}	g	v		i	i						}	m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.53125	0.0
9	9	9/32	9/32	4/4	1	1	i.i6{	g	i		i6	i		6				{	m	1	1	-2, 2, 1		1	-2	4	6	0.4	0.078125	0.140625	0.35714285714285715
9	9	1/2	1/2	4/4	1	1	#viio65	g	i		#viio65	#vii	o	65					o7	1	1	3, 0, -3, 6		6	3	3	11	0.21428571428571427	0.125	0.75	0.14285714285714285
10	10	0	0	4/4	1	1	i	g	i		i	i							m	1	1	1, -2, 2		1	1	6	12	0.3333333333333333	0.15625	0.71875	0.17857142857142858
10	10	1/2	1/2	4/4	1	1	V(4)	g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	3	0.0	0.0	0.625	0.0
10	10	5/8	5/8	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	0	1	0.0	0.0	0.125	0.0
10	10	3/4	3/4	4/4	1	1	iv.V7	g	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	2	8	0.2	0.046875	0.453125	0.09375
11	11	0	0	4/4	1	1	i(9#7)	g	iv		i(9#7)	i			9#7				m	1	1	0, -3, 1	2, 5	0	0	0	4	0.0	0.0	0.3125	0.0
11	11	1/8	1/8	4/4	1	1	i6	g	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3	2	1	0.6666666666666666	0.1875	0.0625	0.75
11	11	1/4	1/4	4/4	1	1	viio6/III	g	iv		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	3/8	3/8	4/4	1	1	III6	g	iv		III6	III		6					M	1	1	1, -2, -3		-3	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	1/2	1/2	4/4	1	1	V2/III	g	iv		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4	4	6	0.4	0.078125	0.421875	0.15625
11	11	3/4	3/4	4/4	1	1	V65/III	g	iv		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2	0	4	0.0	0.0	0.25	0.0
12	12	0	0	4/4	1	1	III	g	iv		III	III							M	1	1	-3, 1, -2		-3	-3	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	12	1/4	1/4	4/4	1	1	V7/IV/III	g	iv		V7/IV/III	V		7		IV/III			Mm7	1	1	-3, 1, -2, -5		-3	-3	0	5	0.0	0.0	0.25	0.0
12	12	1/2	1/2	4/4	1	1	IV/III	g	iv		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.125	0.0
12	12	5/8	5/8	4/4	1	1	ii6/III	g	iv		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4	1	4	0.2	0.03125	0.34375	0.08333333333333333
12	12	3/4	3/4	4/4	1	1	V(4)/III	g	iv		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
12	12	7/8	7/8	4/4	1	1	V/III	g	iv		V/III	V				III			M	1	1	-2, 2, -1		-2	-2	1	1	0.5	0.03125	0.09375	0.25
13	13	0	0	4/4	1	1	viio7/V/III}	g	iv		viio7/V/III	vii	o	7		V/III		}	o7	1	1	3, 0, -3, -6		3	3	0	3	0.0	0.0	0.75	0.0
13	13	1/4	1/4	4/4	1	1	#viio7{	g	iv		#viio7	#vii	o	7				{	o7	1	1	5, 2, -1, -4		5	5	1	8	0.1111111111111111	0.015625	0.234375	0.0625
13	13	1/2	1/2	4/4	1	1	i6	g	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3	5	8	0.38461538461538464	0.09375	0.28125	0.25
13	13	3/4	3/4	4/4	1	1	V	g	iv		V	V							M	1	1	1, 5, 2		1	1	3	3	0.5	0.140625	0.109375	0.5625
14	14	0	0	4/4	1	1	i}{	g	iv		i	i						}{	m	1	1	0, -3, 1		0	0	5	10	0.3333333333333333	0.125	0.375	0.25
14	14	1/2	1/2	4/4	1	1	#viio6(2)	g	iv		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2	0	3	0.0	0.0	0.125	0.0
14	14	5/8	5/8	4/4	1	1	#viio6	g	iv		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	0	1	0.0	0.0	0.125	0.0
14	14	3/4	3/4	4/4	1	1	V	g	iv		V	V							M	1	1	1, 5, 2		1	1	5	4	0.5555555555555556	0.125	0.125	0.5
15	15	0	0	4/4	1	1	V7	g	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	2	10	0.16666666666666666	0.0625	1.1875	0.05
15	15	1/2	1/2	4/4	1	1	i}	g	iv		i	i						}	m	1	1	0, -3, 1		0	0	2	6	0.25	0.03125	0.4375	0.06666666666666667
15	15	3/4	3/4	4/4	1	1	VI6	g	iv		VI6	VI		6					M	1	1	0, -3, -4		-4	0	0	4	0.0	0.0	0.5	0.0
16	16	0	0	4/4	1	1	v65(2)	g	iv		v65(2)	v		65	2				mm7	1	1	-2, 2, -1, -4		1	-2	2	4	0.3333333333333333	0.125	0.375	0.25
16	16	1/4	1/4	4/4	1	1	v65	g	iv		v65	v		65					mm7	1	1	-2, 2, -1, 1		1	-2	0	1	0.0	0.0	0.125	0.0
16	16	3/8	3/8	4/4	1	1	V	g	iv		V	V							M	1	1	1, 5, 2		1	1	1	4	0.2	0.0625	0.4375	0.125
16	16	1/2	1/2	4/4	1	1	iv65(2)	g	iv		iv65(2)	iv		65	2				mm7	1	1	-4, 0, -3, 1		-1	-4	1	8	0.1111111111111111	0.03125	0.59375	0.05
16	16	3/4	3/4	4/4	1	1	iv65	g	iv		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4	1	6	0.14285714285714285	0.03125	0.21875	0.125
17	17	0	0	4/4	1	1	V(4)	g	iv		V(4)	V			4				M	1	1	1, 0, 2		1	1	0	3	0.0	0.0	0.375	0.0
17	17	1/8	1/8	4/4	1	1	V	g	iv		V	V							M	1	1	1, 5, 2		1	1	0	1	0.0	0.0	0.125	0.0
17	17	1/4	1/4	4/4	1	1	V7	g	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
17	17	3/8	3/8	4/4	1	1	V65	g	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5	0	4	0.0	0.0	0.5	0.0
17	17	1/2	1/2	4/4	1	1	i	g	iv		i	i							m	1	1	0, -3, 1		0	0	4	8	0.3333333333333333	0.15625	0.84375	0.15625
18	18	0	0	4/4	1	1	i.#viio7	g	i		#viio7	#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	3	8	0.2727272727272727	0.078125	0.421875	0.15625
18	18	1/4	1/4	4/4	1	1	i	g	i		i	i							m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.03125	0.21875	0.125
18	18	1/2	1/2	4/4	1	1	bII6(2)	g	i		bII6(2)	bII		6	2				M	1	1	0, -3, -2		-4	0	1	3	0.25	0.03125	0.09375	0.25
18	18	5/8	5/8	4/4	1	1	bII6	g	i		bII6	bII		6					M	1	1	0, -3, -4		-4	0	2	5	0.2857142857142857	0.125	0.375	0.25
19	19	0	0	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	1	6	0.14285714285714285	0.03125	0.34375	0.08333333333333333
19	19	1/4	1/4	4/4	1	1	i6	g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	2	5	0.2857142857142857	0.0625	0.1875	0.25
19	19	1/2	1/2	4/4	1	1	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2				o	1	1	3, 0, 1		6	3	0	4	0.0	0.0	0.25	0.0
19	19	3/4	3/4	4/4	1	1	V43	g	i		V43	V		43					Mm7	1	1	3, 0, 2, 6		2	3	1	3	0.25	0.0625	0.1875	0.25
20	20	0	0	4/4	1	1	i(4)	g	i		i(4)	i			4				m	1	1	1, 0, 2		1	1	2	3	0.4	0.09375	0.15625	0.375
20	20	1/4	1/4	4/4	1	1	i	g	i		i	i							m	1	1	1, -2, 2		1	1	2	3	0.4	0.09375	0.15625	0.375
20	20	1/2	1/2	4/4	1	1	bII6	g	i		bII6	bII		6					M	1	1	0, -3, -4		-4	0	3	5	0.375	0.1875	0.3125	0.375
21	21	0	0	4/4	1	1	V2(4)	g	i		V2(4)	V		2	4				Mm7	1	1	0, 2, 1, 3		2	0	0	4	0.0	0.0	0.875	0.0
21	21	1/8	1/8	4/4	1	1	V2	g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	2	3	0.4	0.10416666666666667	0.14583333333333334	0.4166666666666667
21	21	3/8	3/8	4/4	1	1	V65/V	g	i		V65/V	V		65		V			Mm7	1	1	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.5	0.0
21	21	1/2	1/2	4/4	1	1	V(4)	g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	8	10	0.4444444444444444	0.1796875	0.5078125	0.26136363636363635
21	21	15/16	15/16	4/4	1	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	1	1	0.5	0.015625	0.046875	0.25
22	22	0	0	4/4	1	1	i}	g	i		i	i						}	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	4.0	0.0
