mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
33	33	0	0	12/8	2	1	viio					A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	1	3	0.25	0.125	0.875	0.125
33	33	1/4	1/4	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	0	1	0.0	0.0	0.125	0.0
33	33	3/8	3/8	12/8	2	1	I(9)					A	I		I(9)	I			9				M	0	0	3, 7, 4	5.0	3	3	0	5	0.0	0.0	0.875	0.0
33	33	5/8	5/8	12/8	2	1	viio/IV					A	I		viio/IV	vii	o			IV			o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.25	0.0
33	33	3/4	3/4	12/8	2	1	IVM7					A	I		IVM7	IV	M	7.0					MM7	0	0	2, 6, 3, 7		2	2	1	6	0.1428571428571428	0.125	1.0	0.1111111111111111
33	33	9/8	9/8	12/8	2	1	iio6					A	I		iio6	ii	o	6.0					o	0	0	2, -1, 5		5	2	3	4	0.4285714285714285	0.375	0.75	0.3333333333333333
34	34	0	0	12/8	2	1	V(b9)					A	I		V(b9)	V			b9				M	0	0	4, 8, 5	-1.0	4	4	3	6	0.3333333333333333	0.375	1.625	0.1875
34	34	5/8	5/8	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
34	34	3/4	3/4	12/8	2	1	V(64)					A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	6	0.0	0.0	1.875	0.0
34	34	9/8	9/8	12/8	2	1	V7(4)					A	I		V7(4)	V		7.0	4				Mm7	0	0	4, 3, 5, 2		4	4	0	4	0.0	0.0	1.0	0.0
34	34	11/8	11/8	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	0	1	0.0	0.0	0.125	0.0
35	35	0	0	12/8	2	1	I[I|PAC}{					A	I	I	I	I					PAC	}{	M	0	0	3, 7, 4		3	3	1	4	0.2	0.125	1.875	0.0625
35	35	1/4	1/4	12/8	2	1	IV					A	I	I	IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
35	35	3/8	3/8	12/8	2	1	I6					A	I	I	I6	I		6.0					M	0	0	7, 4, 3		3	7	1	2	0.3333333333333333	0.125	0.375	0.25
35	35	5/8	5/8	12/8	2	1	ii7					A	I	I	ii7	ii		7.0					mm7	0	0	5, 2, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
35	35	3/4	3/4	12/8	2	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	1	4	0.2	0.125	1.875	0.0625
35	35	1	1	12/8	2	1	IV6					A	I	I	IV6	IV		6.0					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.25	0.0
35	35	9/8	9/8	12/8	2	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
35	35	11/8	11/8	12/8	2	1	ii6					A	I	I	ii6	ii		6.0					m	0	0	2, 6, 5		5	2	0	2	0.0	0.0	0.25	0.0
36	36	0	0	12/8	2	1	I					A	I	I	I	I							M	0	0	3, 7, 4		3	3	2	6	0.25	0.25	1.625	0.1333333333333333
36	36	3/8	3/8	12/8	2	1	IV6					A	I	I	IV6	IV		6.0					M	0	0	6, 3, 2		2	6	0	5	0.0	0.0	0.875	0.0
36	36	5/8	5/8	12/8	2	1	I6					A	I	I	I6	I		6.0					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
36	36	3/4	3/4	12/8	2	1	IV					A	I	I	IV	IV							M	0	0	2, 6, 3		2	2	2	11	0.1538461538461538	0.25	2.625	0.0869565217391304
36	36	5/4	5/4	12/8	2	1	IV6					A	I	I	IV6	IV		6.0					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.25	0.0
36	36	11/8	11/8	12/8	2	1	V7(9)	0.0	-8.0	/		A	I	I	V7(9)	V		7.0	9				Mm7	0	0	4, 8, 5, 2	6.0	4	4	0	2	0.0	0.0	0.25	0.0
37	37	0	0	12/8	2	1	I(64)}					A	I	I	I(64)	I			64			}	M	0	0	3, 2, 6		3	3	4	10	0.2857142857142857	0.5	4.0	0.1111111111111111
37	37	3/4	3/4	12/8	2	1	I]|PAC					A	I	I	I	I					PAC		M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	3.0	0.0
