mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
8	8	0	0	12/8	2	1	I6					A	V		I6	I		6.0					M	0	0	8, 5, 4		4	8	1	6	0.1428571428571428	0.125	1.25	0.0909090909090909
8	8	3/8	3/8	12/8	2	1	ii65					A	V		ii65	ii		65.0					mm7	0	0	3, 7, 4, 6		6	3	1	5	0.1666666666666666	0.125	0.875	0.125
8	8	3/4	3/4	12/8	2	1	V					A	V		V	V							M	0	0	5, 9, 6		5	5	2	5	0.2857142857142857	0.25	0.75	0.25
8	8	9/8	9/8	12/8	2	1	V6					A	V		V6	V		6.0					M	0	0	9, 6, 5		5	9	2	3	0.4	0.25	0.625	0.2857142857142857
8	8	11/8	11/8	12/8	2	1	V7					A	V		V7	V		7.0					Mm7	0	0	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
9	9	0	0	12/8	2	1	I(9)					A	V		I(9)	I			9				M	0	0	4, 8, 5	6.0	4	4	0	3	0.0	0.0	0.625	0.0
9	9	1/8	1/8	12/8	2	1	I6					A	V		I6	I		6.0					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
9	9	1/4	1/4	12/8	2	1	IVM7					A	V		IVM7	IV	M	7.0					MM7	0	0	3, 7, 4, 8		3	3	0	2	0.0	0.0	0.25	0.0
9	9	3/8	3/8	12/8	2	1	V(4)					A	V		V(4)	V			4				M	0	0	5, 4, 6		5	5	1	4	0.2	0.125	0.75	0.1428571428571428
9	9	5/8	5/8	12/8	2	1	V					A	V		V	V							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.25	0.0
9	9	3/4	3/4	12/8	2	1	I[I|PAC}{					A	V	I	I	I					PAC	}{	M	0	0	4, 8, 5		4	4	3	3	0.5	0.375	1.625	0.1875
9	9	9/8	9/8	12/8	2	1	I6					A	V	I	I6	I		6.0					M	0	0	8, 5, 4		4	8	1	2	0.3333333333333333	0.125	0.375	0.25
9	9	11/8	11/8	12/8	2	1	IV	-1.0	-5.0	/		A	V	I	IV	IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
10	10	0	0	12/8	2	1	I					A	V	I	I	I							M	0	0	4, 8, 5		4	4	1	4	0.2	0.125	1.375	0.0833333333333333
10	10	1/4	1/4	12/8	2	1	IV6					A	V	I	IV6	IV		6.0					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
10	10	3/8	3/8	12/8	2	1	I					A	V	I	I	I							M	0	0	4, 8, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	5/8	5/8	12/8	2	1	ii6				viio64	A	V	I	ii6	ii		6.0					m	0	0	3, 7, 6		6	3	0	2	0.0	0.0	0.25	0.0
10	10	3/4	3/4	12/8	2	1	I]					A	V	I	I	I							M	0	0	4, 8, 5		4	4	1	3	0.25	0.125	1.125	0.1
10	10	1	1	12/8	2	1	IV6					A	V		IV6	IV		6.0					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
10	10	9/8	9/8	12/8	2	1	V(64)					A	V		V(64)	V			64				M	0	0	5, 4, 8		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	11/8	11/8	12/8	2	1	ii65	-1.1	-8.0	/		A	V		ii65	ii		65.0					mm7	0	0	3, 7, 4, 6		6	3	0	2	0.0	0.0	0.25	0.0
11	11	0	0	12/8	2	1	I6					A	V		I6	I		6.0					M	0	0	8, 5, 4		4	8	1	3	0.25	0.125	1.125	0.1
11	11	1/4	1/4	12/8	2	1	IV					A	V		IV	IV							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
11	11	3/8	3/8	12/8	2	1	I6					A	V		I6	I		6.0					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
11	11	1/2	1/2	12/8	2	1	V7/IV					A	V		V7/IV	V		7.0		IV			Mm7	0	0	4, 8, 5, 2		4	4	2	2	0.5	0.25	0.25	0.5
11	11	3/4	3/4	12/8	2	1	IV6/IV					A	V		IV6/IV	IV		6.0		IV			M	0	0	6, 3, 2		2	6	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
11	11	9/8	9/8	12/8	2	1	V65/IV					A	V		V65/IV	V		65.0		IV			Mm7	0	0	8, 5, 2, 4		4	8	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
12	12	0	0	12/8	2	1	I.I					A	I		I	I							M	0	0	3, 7, 4		3	3	3	3	0.5	0.375	1.125	0.25
12	12	3/8	3/8	12/8	2	1	V7/IV					A	I		V7/IV	V		7.0		IV			Mm7	0	0	3, 7, 4, 1		3	3	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
